chunk_id,parent_doc_id,source_type,title,year,statement_type,note_number,section_type,chunk_index,chunk_count,chunk_text_length
2021_section_7_chunk_10,2021_section_7,main_section,주석,2021,,,notes_section,10,18,1219
2021_section_7_chunk_11,2021_section_7,main_section,주석,2021,,,notes_section,11,18,1326
2021_section_7_chunk_12,2021_section_7,main_section,주석,2021,,,notes_section,12,18,1349
2021_section_7_chunk_13,2021_section_7,main_section,주석,2021,,,notes_section,13,18,1070
2021_section_7_chunk_14,2021_section_7,main_section,주석,2021,,,notes_section,14,18,1289
2021_section_7_chunk_15,2021_section_7,main_section,주석,2021,,,notes_section,15,18,1345
2021_section_7_chunk_16,2021_section_7,main_section,주석,2021,,,notes_section,16,18,1347
2021_section_7_chunk_17,2021_section_7,main_section,주석,2021,,,notes_section,17,18,1255
2021_section_8_chunk_0,2021_section_8,main_section,(주석,2021,,,notes_section,0,13,1170
2021_section_8_chunk_1,2021_section_8,main_section,(주석,2021,,,notes_section,1,13,1275
2021_section_8_chunk_2,2021_section_8,main_section,(주석,2021,,,notes_section,2,13,1349
2021_section_8_chunk_3,2021_section_8,main_section,(주석,2021,,,notes_section,3,13,1344
2021_section_8_chunk_4,2021_section_8,main_section,(주석,2021,,,notes_section,4,13,1307
2021_section_8_chunk_5,2021_section_8,main_section,(주석,2021,,,notes_section,5,13,1337
2021_section_8_chunk_6,2021_section_8,main_section,(주석,2021,,,notes_section,6,13,1341
2021_section_8_chunk_7,2021_section_8,main_section,(주석,2021,,,notes_section,7,13,1152
2021_section_8_chunk_8,2021_section_8,main_section,(주석,2021,,,notes_section,8,13,1311
2021_section_8_chunk_9,2021_section_8,main_section,(주석,2021,,,notes_section,9,13,1351
2021_section_8_chunk_10,2021_section_8,main_section,(주석,2021,,,notes_section,10,13,1293
2021_section_8_chunk_11,2021_section_8,main_section,(주석,2021,,,notes_section,11,13,1347
2021_section_8_chunk_12,2021_section_8,main_section,(주석,2021,,,notes_section,12,13,212
2021_note_1_0_chunk_0,2021_note_1_0,note_block,1. 일반적 사항 :,2021,,1,,0,1,442
2021_note_2_1_chunk_0,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,0,15,1138
2021_note_2_1_chunk_1,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,1,15,1242
2021_note_2_1_chunk_2,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,2,15,1295
2021_note_2_1_chunk_3,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,3,15,1121
2021_note_2_1_chunk_4,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,4,15,1161
2021_note_2_1_chunk_5,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,5,15,1256
2021_note_2_1_chunk_6,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,6,15,1292
2021_note_2_1_chunk_7,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,7,15,1308
2021_note_2_1_chunk_8,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,8,15,1292
2021_note_2_1_chunk_9,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,9,15,1286
2021_note_2_1_chunk_10,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,10,15,1212
2021_note_2_1_chunk_11,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,11,15,1295
2021_note_2_1_chunk_12,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,12,15,1318
2021_note_2_1_chunk_13,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,13,15,1299
2021_note_2_1_chunk_14,2021_note_2_1,note_block,2. 중요한 회계처리방침:,2021,,2,,14,15,833
2021_note_3_2_chunk_0,2021_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2021,,3,,0,3,1090
