doc_id,source_type,title,year,statement_type,note_number,section_type,text_length
2014_table_summary_128,table_summary,table_summary_128,2014,,,,63
2014_table_summary_129,table_summary,table_summary_129,2014,,,,145
2014_table_summary_130,table_summary,table_summary_130,2014,,,,105
2014_table_summary_131,table_summary,table_summary_131,2014,,,,100
2014_table_summary_132,table_summary,table_summary_132,2014,,,,63
2014_table_summary_133,table_summary,table_summary_133,2014,,,,109
2014_table_summary_134,table_summary,table_summary_134,2014,,,,63
2014_table_summary_135,table_summary,table_summary_135,2014,,,,217
2014_table_summary_136,table_summary,table_summary_136,2014,,,,70
2014_table_summary_137,table_summary,table_summary_137,2014,,,,277
2014_table_summary_138,table_summary,table_summary_138,2014,,,,63
2014_table_summary_139,table_summary,table_summary_139,2014,,,,281
2014_table_summary_140,table_summary,table_summary_140,2014,,,,61
2014_table_summary_141,table_summary,table_summary_141,2014,,,,143
2014_table_summary_142,table_summary,table_summary_142,2014,,,,63
2014_table_summary_143,table_summary,table_summary_143,2014,,,,145
2014_table_summary_144,table_summary,table_summary_144,2014,,,,63
2014_table_summary_145,table_summary,table_summary_145,2014,,,,209
2014_table_summary_146,table_summary,table_summary_146,2014,,,,156
2014_table_summary_147,table_summary,table_summary_147,2014,,,,162
2014_table_summary_148,table_summary,table_summary_148,2014,,,,63
2014_table_summary_149,table_summary,table_summary_149,2014,,,,137
2014_table_summary_150,table_summary,table_summary_150,2014,,,,149
2014_table_summary_151,table_summary,table_summary_151,2014,,,,148
2014_table_summary_152,table_summary,table_summary_152,2014,,,,63
2014_table_summary_153,table_summary,table_summary_153,2014,,,,163
2014_table_summary_154,table_summary,table_summary_154,2014,,,,63
2014_table_summary_155,table_summary,table_summary_155,2014,,,,124
2014_table_summary_156,table_summary,table_summary_156,2014,,,,63
2014_table_summary_157,table_summary,table_summary_157,2014,,,,127
2014_table_summary_158,table_summary,table_summary_158,2014,,,,63
2014_table_summary_159,table_summary,table_summary_159,2014,,,,138
2014_table_summary_160,table_summary,table_summary_160,2014,,,,63
2014_table_summary_161,table_summary,table_summary_161,2014,,,,138
2014_table_summary_162,table_summary,table_summary_162,2014,,,,63
2014_table_summary_163,table_summary,table_summary_163,2014,,,,138
2014_table_summary_164,table_summary,table_summary_164,2014,,,,63
2014_table_summary_165,table_summary,table_summary_165,2014,,,,208
2014_table_summary_166,table_summary,table_summary_166,2014,,,,63
2014_table_summary_167,table_summary,table_summary_167,2014,,,,208
2014_table_summary_168,table_summary,table_summary_168,2014,,,,63
2014_table_summary_169,table_summary,table_summary_169,2014,,,,184
2014_table_summary_170,table_summary,table_summary_170,2014,,,,67
2014_table_summary_171,table_summary,table_summary_171,2014,,,,150
2014_table_summary_172,table_summary,table_summary_172,2014,,,,67
2014_table_summary_173,table_summary,table_summary_173,2014,,,,146
2014_table_summary_174,table_summary,table_summary_174,2014,,,,67
2014_table_summary_175,table_summary,table_summary_175,2014,,,,174
2014_table_summary_176,table_summary,table_summary_176,2014,,,,67
2014_table_summary_177,table_summary,table_summary_177,2014,,,,169
2014_table_summary_178,table_summary,table_summary_178,2014,,,,63
2014_table_summary_179,table_summary,table_summary_179,2014,,,,152
2014_table_summary_180,table_summary,table_summary_180,2014,,,,63
2014_table_summary_181,table_summary,table_summary_181,2014,,,,173
2014_table_summary_182,table_summary,table_summary_182,2014,,,,63
2014_table_summary_183,table_summary,table_summary_183,2014,,,,154
2014_table_summary_184,table_summary,table_summary_184,2014,,,,63
2014_table_summary_185,table_summary,table_summary_185,2014,,,,192
2014_table_summary_186,table_summary,table_summary_186,2014,,,,63
2014_table_summary_187,table_summary,table_summary_187,2014,,,,117
2014_table_summary_188,table_summary,table_summary_188,2014,,,,63
2014_table_summary_189,table_summary,table_summary_189,2014,,,,117
2014_table_summary_190,table_summary,table_summary_190,2014,,,,63
2014_table_summary_191,table_summary,table_summary_191,2014,,,,132
2014_table_summary_192,table_summary,table_summary_192,2014,,,,63
2014_table_summary_193,table_summary,table_summary_193,2014,,,,179
2014_table_summary_194,table_summary,table_summary_194,2014,,,,63
2014_table_summary_195,table_summary,table_summary_195,2014,,,,175
2014_table_summary_196,table_summary,table_summary_196,2014,,,,63
2014_table_summary_197,table_summary,table_summary_197,2014,,,,182
2014_table_summary_198,table_summary,table_summary_198,2014,,,,64
2014_table_summary_199,table_summary,table_summary_199,2014,,,,224
2014_table_summary_200,table_summary,table_summary_200,2014,,,,63
2014_table_summary_201,table_summary,table_summary_201,2014,,,,129
2014_table_summary_202,table_summary,table_summary_202,2014,,,,64
2014_table_summary_203,table_summary,table_summary_203,2014,,,,103
2014_table_summary_204,table_summary,table_summary_204,2014,,,,63
2014_table_summary_205,table_summary,table_summary_205,2014,,,,141
2014_table_summary_206,table_summary,table_summary_206,2014,,,,63
2014_table_summary_207,table_summary,table_summary_207,2014,,,,141
2014_table_summary_208,table_summary,table_summary_208,2014,,,,179
2014_table_summary_209,table_summary,table_summary_209,2014,,,,200
2014_table_summary_210,table_summary,table_summary_210,2014,,,,243
2014_table_summary_211,table_summary,table_summary_211,2014,,,,211
2014_table_summary_212,table_summary,table_summary_212,2014,,,,228
2014_table_summary_213,table_summary,table_summary_213,2014,,,,223
